prov_id,treat
11z111,0
11z113,0
11z132,0
11z135,0
11z13z,0
11z142,0
11z161,0
11z163,0
11z165,0
11z177,0
11z183,0
11z186,0
11z191,0
11z192,0
11z194,0
11z1z1,0
11z1z4,0
11z1z7,0
11z1zz,0
11zz11,0
11zz24,0
11zz26,0
11zz27,0
11zz31,0
11zz32,0
11zz34,0
11zz35,0
11zz39,0
11zz45,0
11zz46,0
11zz59,0
11zz71,0
11zz73,0
11zz78,0
11zz82,0
11zz83,0
11zz86,0
11zz87,0
11zz89,0
11zz91,0
11zz92,0
11zzz4,0
11zzz5,0
11zzz6,0
11zzz7,0
12zz19,0
12zz1z,0
12zz22,0
12zz26,0
12zzz1,0
12zzz2,0
12zzz4,0
12zzz5,0
12zzz7,0
13zz13,0
13zz14,0
13zzz6,0
13zzz7,0
14z113,0
14z122,0
14z127,0
14z12z,0
14z137,0
14z145,0
14z147,0
14z148,0
14z162,0
14z174,0
14z1z1,0
14z213,0
14z217,0
14z21z,0
14z231,0
14z286,0
14z288,0
14z289,0
14z28z,0
14z294,0
14z2z9,0
14z2zz,0
14zz13,0
14zz26,0
14zz29,0
14zz3z,0
14zz52,0
14zz53,0
14zz59,0
14zz67,0
14zz77,0
14zz89,0
14zzz1,0
14zzz2,0
14zzz7,0
15z1zz,0
15zz12,0
15zz17,0
15zz1z,0
15zz21,0
15zz22,0
15zz24,0
15zz33,0
15zz37,0
15zz38,0
15zz46,0
15zz56,0
15zz57,0
15zz58,0
15zz59,0
15zz72,0
15zz74,0
15zz75,0
15zz82,0
15zz86,0
15zzz1,0
15zzz5,0
15zzz7,0
15zzz9,0
16z112,0
16z117,0
16z122,0
16z124,0
16z146,0
16z153,0
16z1z1,0
16zz28,0
16zz29,0
16zz32,0
16zz33,0
16zz3z,0
16zz47,0
16zz58,0
16zz64,1
16zz79,0
17z133,0
17z146,0
17z166,0
17z176,0
17z182,0
17z1z3,0
17z1z5,0
17zz14,0
17zz16,0
17zz27,0
17zz39,0
17zz75,0
17zz86,0
17zzz1,0
